File: stage_1701_17010045.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 49940)
File: stage_1701_17010065.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 502880)
File: stage_1702_17020025.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 45970)
File: stage_1702_17020055.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 46740)
File: stage_1702_17020095.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 503640)
File: stage_1703_17030015.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 49190)
File: stage_1703_17030065.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 503380)
File: stage_1703_17030075.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 506730)
File: stage_1704_17040025.html | Text: HP30%以下で会心発動率30%UP | ID: (ID: 46530)
File: stage_1704_17040055.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 500790)
File: stage_1704_17040075.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 501880)
File: stage_1704_17040085.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 502500)
File: stage_1704_17040105.html | Text: ターン経過ごとに会心発動率20%UP(最大100%) | ID: (ID: 505740)
File: stage_1705_17050015.html | Text: HP50%以下で会心発動率30%UP | ID: (ID: 45730)
File: stage_1705_17050075.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 504300)
File: stage_1705_17050085.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 504390)
File: stage_1705_17050135.html | Text: 攻撃を受けるたび会心発動率9%UP(最大59%) | ID: (ID: 504990)
File: stage_1705_17050155.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 505280)
File: stage_1705_17050155.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 505310)
File: stage_1705_17050155.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 505330)
File: stage_1705_17050165.html | Text: 必殺技を受けると、攻撃時に必ず会心が発動 | ID: (ID: 507110)
File: stage_1705_17050165.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 507130)
File: stage_1705_17050165.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 507140)
File: stage_1708_17080013.html | Text: 攻撃時に必ず会心が発動する | ID: (ID: 46280)
File: stage_1715_17150025.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 507550)
File: stage_1715_17150045.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 508110)
File: stage_1716_17160085.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 522210)
File: stage_1723_17230065.html | Text: HP50%以下で会心発動率30%UP | ID: (ID: 513990)
File: stage_1723_17230075.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 515210)
File: stage_1723_17230075.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 515200)
File: stage_1726_17260055.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 515680)
File: stage_1728_17280124.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 520560)
File: stage_1729_17290045.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 517860)
File: stage_1729_17290055.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 518860)
File: stage_1729_17290055.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 518930)
File: stage_1732_17320055.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 520000)
File: stage_1732_17320055.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 520030)
File: stage_1733_17330015.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 520740)
File: stage_1736_17360065.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 523060)
File: stage_1737_17370443.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 45970)
File: stage_1737_17370474.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 46740)
File: stage_1737_17370514.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 503640)
File: stage_1737_17370533.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 49190)
File: stage_1737_17370584.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 503380)
File: stage_1737_17370594.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 506730)
File: stage_1737_17370644.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 507550)
File: stage_1737_17370664.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 508110)
File: stage_1737_17370745.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 517860)
File: stage_1737_17370755.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 518860)
File: stage_1737_17370755.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 518930)
File: stage_1737_17370775.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 520740)
File: stage_1738_17380193.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 42640)
File: stage_1738_17380253.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 49940)
File: stage_1738_17380274.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 502880)
File: stage_1738_17380325.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 515680)
File: stage_1743_17430013.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524620)
File: stage_1743_17430013.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524630)
File: stage_1743_17430014.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524670)
File: stage_1743_17430014.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524680)
File: stage_1743_17430015.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524720)
File: stage_1743_17430015.html | Text: 必殺技を受けるたびに会心発動率10%DOWN(最大100%) | ID: (ID: 524730)
File: stage_1744_17440013.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 523870)
File: stage_1744_17440015.html | Text: 攻撃時に必ず会心が発動 | ID: (ID: 523870)
File: stage_1744_17440023.html | Text: 攻撃時に高確率で会心が発動 | ID: (ID: 524530)
File: stage_1744_17440025.html | Text: 攻撃時に高確率で会心が発動 | ID: (ID: 524530)
File: stage_713_7130393.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 521340)
File: stage_797_7970055.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 42640)
File: stage_798_7980025.html | Text: 必殺技発動時に必ず会心が発動 | ID: (ID: 42870)
